,agents_choice,result
0,Paper,L
1,Rock,D
2,Rock,D
3,Paper,L
4,Scissors,W
5,Paper,W
6,Rock,D
7,Paper,W
8,Rock,W
9,Paper,W
10,Scissors,D
11,Paper,L
12,Rock,W
13,Scissors,L
14,Rock,W
15,Scissors,W
16,Scissors,L
17,Scissors,L
18,Rock,D
19,Scissors,L
20,Scissors,L
21,Paper,L
22,Rock,W
23,Scissors,L
24,Paper,L
25,Scissors,L
26,Paper,L
27,Scissors,D
28,Rock,W
29,Scissors,D
30,Scissors,W
31,Rock,D
32,Scissors,W
33,Scissors,D
34,Paper,D
35,Paper,W
36,Paper,W
37,Rock,W
38,Scissors,W
39,Rock,L
40,Scissors,W
41,Paper,W
42,Rock,D
43,Rock,L
44,Paper,W
45,Scissors,L
46,Rock,L
47,Scissors,L
48,Scissors,W
49,Rock,L
50,Scissors,D
51,Rock,L
52,Scissors,L
53,Rock,W
54,Rock,L
55,Scissors,D
56,Rock,D
57,Paper,D
58,Scissors,L
59,Paper,L
60,Paper,D
61,Paper,L
62,Scissors,D
63,Scissors,W
64,Scissors,D
65,Paper,W
66,Paper,L
67,Rock,D
68,Paper,W
69,Paper,L
70,Rock,D
71,Rock,L
72,Paper,W
73,Paper,W
74,Scissors,L
75,Paper,D
76,Rock,L
77,Paper,D
78,Rock,W
79,Paper,D
80,Scissors,L
81,Scissors,W
82,Paper,D
83,Rock,D
84,Rock,W
85,Rock,L
86,Rock,W
87,Rock,W
88,Scissors,D
89,Rock,D
90,Scissors,D
91,Rock,W
92,Rock,D
93,Rock,W
94,Paper,L
95,Rock,D
96,Rock,D
97,Scissors,W
98,Scissors,W
99,Scissors,W
100,Scissors,D
101,Scissors,D
102,Paper,L
103,Paper,W
104,Paper,L
105,Paper,D
106,Paper,W
107,Paper,W
108,Paper,W
109,Paper,D
110,Scissors,W
111,Paper,D
112,Paper,W
113,Paper,W
114,Paper,L
115,Scissors,D
116,Rock,L
117,Paper,W
118,Paper,L
119,Paper,D
120,Rock,L
121,Scissors,D
122,Scissors,W
123,Scissors,L
124,Rock,L
125,Scissors,L
126,Rock,D
127,Rock,W
128,Scissors,D
129,Scissors,D
130,Paper,D
131,Scissors,D
132,Rock,W
133,Scissors,W
134,Paper,L
