,agents_choice,result
0,Paper,D
1,Paper,L
2,Paper,L
3,Paper,D
4,Paper,W
5,Paper,D
6,Paper,L
7,Paper,D
8,Paper,L
9,Paper,D
10,Paper,W
11,Paper,D
12,Paper,L
13,Paper,W
14,Paper,L
15,Paper,W
16,Paper,W
17,Paper,W
18,Paper,L
19,Paper,W
20,Paper,W
21,Paper,D
22,Paper,L
23,Paper,W
24,Paper,D
25,Paper,W
26,Paper,D
27,Paper,W
28,Paper,L
29,Paper,W
30,Paper,W
31,Paper,L
32,Paper,W
33,Paper,W
34,Paper,D
35,Paper,D
36,Paper,D
37,Paper,L
38,Paper,W
39,Paper,L
40,Paper,W
41,Paper,D
42,Paper,L
43,Paper,L
44,Paper,D
45,Paper,W
46,Paper,L
47,Paper,W
48,Paper,W
49,Paper,L
50,Paper,W
51,Paper,L
52,Paper,W
53,Paper,L
54,Paper,L
55,Paper,W
56,Paper,L
57,Paper,D
58,Paper,W
59,Paper,D
60,Paper,D
61,Paper,D
62,Paper,W
63,Paper,W
64,Paper,W
65,Paper,D
66,Paper,D
67,Paper,L
68,Paper,D
69,Paper,D
70,Paper,L
71,Paper,L
72,Paper,D
73,Paper,D
74,Paper,W
75,Paper,D
76,Paper,L
77,Paper,D
78,Paper,L
79,Paper,D
80,Paper,W
81,Paper,W
82,Paper,D
83,Paper,L
84,Paper,L
85,Paper,L
86,Paper,L
87,Paper,L
88,Paper,W
89,Paper,L
90,Paper,W
91,Paper,L
92,Paper,L
93,Paper,L
94,Paper,D
95,Paper,L
96,Paper,L
97,Paper,W
98,Paper,W
99,Paper,W
100,Paper,W
101,Paper,W
102,Paper,D
103,Paper,D
104,Paper,D
105,Paper,D
106,Paper,D
107,Paper,D
108,Paper,D
109,Paper,D
110,Paper,W
111,Paper,D
112,Paper,D
113,Paper,D
114,Paper,D
115,Paper,W
116,Paper,L
117,Paper,D
118,Paper,D
119,Paper,D
120,Paper,L
121,Paper,W
122,Paper,W
123,Paper,W
124,Paper,L
125,Paper,W
126,Paper,L
127,Paper,L
128,Paper,W
129,Paper,W
130,Paper,D
131,Paper,W
132,Paper,L
133,Paper,W
134,Paper,D
135,Paper,W
136,Paper,L
137,Paper,L
138,Paper,W
139,Paper,L
140,Paper,W
141,Paper,L
142,Paper,D
143,Paper,L
144,Paper,W
145,Paper,D
146,Paper,L
147,Paper,L
148,Paper,D
149,Paper,W
150,Paper,W
151,Paper,W
152,Paper,W
153,Paper,L
154,Paper,W
155,Paper,D
156,Paper,L
157,Paper,D
158,Paper,L
159,Paper,W
160,Paper,L
161,Paper,W
162,Paper,W
163,Paper,L
164,Paper,W
165,Paper,W
166,Paper,W
167,Paper,L
168,Paper,L
169,Paper,L
170,Paper,W
171,Paper,L
172,Paper,D
173,Paper,W
174,Paper,L
175,Paper,W
176,Paper,L
177,Paper,D
178,Paper,L
179,Paper,W
180,Paper,L
181,Paper,W
182,Paper,L
183,Paper,D
184,Paper,L
185,Paper,D
186,Paper,W
187,Paper,D
188,Paper,D
189,Paper,D
190,Paper,D
191,Paper,D
192,Paper,L
193,Paper,L
194,Paper,D
195,Paper,D
196,Paper,L
197,Paper,W
198,Paper,D
199,Paper,L
200,Paper,D
201,Paper,L
202,Paper,W
203,Paper,W
204,Paper,L
205,Paper,D
206,Paper,D
207,Paper,L
208,Paper,L
209,Paper,D
210,Paper,D
211,Paper,D
212,Paper,W
213,Paper,L
214,Paper,D
215,Paper,D
216,Paper,D
217,Paper,D
218,Paper,L
219,Paper,D
220,Paper,D
221,Paper,L
222,Paper,L
223,Paper,L
224,Paper,W
225,Paper,L
226,Paper,L
227,Paper,W
228,Paper,D
229,Paper,W
230,Paper,L
231,Paper,L
232,Paper,L
233,Paper,W
234,Paper,L
235,Paper,W
236,Paper,W
237,Paper,D
238,Paper,D
239,Paper,W
240,Paper,L
241,Paper,L
242,Paper,D
243,Paper,L
244,Paper,L
245,Paper,W
246,Paper,W
247,Paper,L
248,Paper,L
249,Paper,W
250,Paper,W
251,Paper,W
252,Paper,D
253,Paper,L
254,Paper,L
255,Paper,L
256,Paper,L
257,Paper,L
258,Paper,D
259,Paper,L
260,Paper,D
261,Paper,W
262,Paper,D
263,Paper,W
264,Paper,W
265,Paper,W
266,Paper,L
267,Paper,D
268,Paper,W
269,Paper,D
270,Paper,W
271,Paper,L
272,Paper,L
273,Paper,L
274,Paper,D
275,Paper,W
276,Paper,W
277,Paper,W
278,Paper,W
279,Paper,L
280,Paper,L
281,Paper,L
282,Paper,W
283,Paper,D
284,Paper,L
285,Paper,W
286,Paper,D
287,Paper,L
288,Paper,W
289,Paper,W
290,Paper,L
291,Paper,D
292,Paper,L
293,Paper,L
294,Paper,W
295,Paper,L
296,Paper,D
297,Paper,D
298,Paper,D
299,Paper,W
300,Paper,L
301,Paper,L
302,Paper,D
303,Paper,D
304,Paper,L
305,Paper,D
306,Paper,L
307,Paper,D
308,Paper,L
309,Paper,L
310,Paper,D
311,Paper,L
312,Paper,D
313,Paper,D
314,Paper,W
315,Paper,L
316,Paper,W
317,Paper,L
318,Paper,D
319,Paper,D
320,Paper,D
321,Paper,W
322,Paper,D
323,Paper,D
324,Paper,L
325,Paper,L
326,Paper,D
327,Paper,W
328,Paper,D
329,Paper,W
330,Paper,L
331,Paper,W
332,Paper,L
333,Paper,W
334,Paper,L
335,Paper,L
336,Paper,W
337,Paper,D
338,Paper,D
339,Paper,W
340,Paper,L
341,Paper,W
342,Paper,L
343,Paper,D
344,Paper,D
345,Paper,D
346,Paper,D
347,Paper,D
348,Paper,L
349,Paper,L
350,Paper,D
351,Paper,D
352,Paper,D
353,Paper,L
354,Paper,L
355,Paper,W
356,Paper,D
357,Paper,D
358,Paper,L
359,Paper,D
360,Paper,L
361,Paper,L
362,Paper,D
363,Paper,L
364,Paper,L
365,Paper,L
366,Paper,L
367,Paper,L
368,Paper,L
369,Paper,D
370,Paper,L
371,Paper,W
372,Paper,L
373,Paper,L
374,Paper,W
375,Paper,W
376,Paper,W
377,Paper,D
378,Paper,L
379,Paper,W
380,Paper,D
381,Paper,D
382,Paper,W
383,Paper,D
384,Paper,W
385,Paper,L
386,Paper,W
387,Paper,W
388,Paper,L
389,Paper,W
390,Paper,W
391,Paper,L
392,Paper,D
393,Paper,L
394,Paper,D
395,Paper,D
396,Paper,L
397,Paper,W
398,Paper,D
399,Paper,W
400,Paper,W
401,Paper,L
402,Paper,L
403,Paper,D
404,Paper,D
405,Paper,D
406,Paper,L
407,Paper,L
408,Paper,D
409,Paper,W
410,Paper,W
411,Paper,D
412,Paper,W
413,Paper,D
414,Paper,D
415,Paper,D
416,Paper,W
417,Paper,W
418,Paper,L
419,Paper,W
420,Paper,L
421,Paper,W
422,Paper,L
423,Paper,L
424,Paper,L
425,Paper,W
426,Paper,W
427,Paper,D
428,Paper,W
429,Paper,W
430,Paper,W
431,Paper,L
432,Paper,L
433,Paper,D
434,Paper,L
435,Paper,D
436,Paper,W
437,Paper,W
438,Paper,D
439,Paper,D
440,Paper,W
441,Paper,D
442,Paper,W
443,Paper,D
444,Paper,L
445,Paper,W
446,Paper,D
447,Paper,W
448,Paper,W
449,Paper,W
450,Paper,W
451,Paper,L
452,Paper,D
453,Paper,W
454,Paper,L
455,Paper,L
456,Paper,D
457,Paper,W
458,Paper,L
459,Paper,L
460,Paper,D
461,Paper,D
462,Paper,W
463,Paper,L
464,Paper,D
465,Paper,D
466,Paper,W
467,Paper,D
468,Paper,L
469,Paper,W
470,Paper,L
471,Paper,W
472,Paper,W
473,Paper,W
474,Paper,W
475,Paper,W
476,Paper,L
477,Paper,L
478,Paper,W
479,Paper,D
480,Paper,D
481,Paper,W
482,Paper,W
483,Paper,L
484,Paper,W
485,Paper,L
486,Paper,L
487,Paper,W
488,Paper,L
489,Paper,W
490,Paper,L
491,Paper,W
492,Paper,W
493,Paper,W
494,Paper,W
495,Paper,D
496,Paper,D
497,Paper,D
498,Paper,L
499,Paper,D
500,Paper,L
501,Paper,L
502,Paper,L
503,Paper,D
504,Paper,D
505,Paper,W
506,Paper,D
507,Paper,D
508,Paper,W
509,Paper,W
510,Paper,W
511,Paper,L
512,Paper,D
513,Paper,D
514,Paper,D
515,Paper,W
516,Paper,D
517,Paper,D
518,Paper,D
519,Paper,W
520,Paper,D
521,Paper,D
522,Paper,L
523,Paper,D
524,Paper,W
525,Paper,L
526,Paper,D
527,Paper,L
528,Paper,D
529,Paper,L
530,Paper,W
531,Paper,W
532,Paper,D
533,Paper,L
534,Paper,D
535,Paper,W
536,Paper,L
537,Paper,W
538,Paper,L
539,Paper,L
540,Paper,L
541,Paper,L
542,Paper,W
543,Paper,D
544,Paper,W
545,Paper,D
546,Paper,L
547,Paper,D
548,Paper,L
549,Paper,D
550,Paper,L
551,Paper,W
552,Paper,D
553,Paper,W
554,Paper,D
555,Paper,L
556,Paper,D
557,Paper,L
558,Paper,L
559,Paper,L
560,Paper,L
561,Paper,W
562,Paper,L
563,Paper,W
564,Paper,D
565,Paper,D
566,Paper,L
567,Paper,L
568,Paper,W
569,Paper,W
570,Paper,W
571,Paper,L
572,Paper,D
573,Paper,L
574,Paper,D
575,Paper,D
576,Paper,D
577,Paper,W
578,Paper,D
579,Paper,W
580,Paper,D
581,Paper,W
582,Paper,W
583,Paper,L
584,Paper,W
585,Paper,D
586,Paper,D
587,Paper,D
588,Paper,W
589,Paper,L
590,Paper,L
591,Paper,L
592,Paper,L
593,Paper,W
594,Paper,L
595,Paper,L
596,Paper,D
597,Paper,W
598,Paper,L
599,Paper,L
600,Paper,W
601,Paper,L
602,Paper,D
603,Paper,D
604,Paper,L
605,Paper,W
606,Paper,D
607,Paper,W
608,Paper,W
609,Paper,W
610,Paper,D
611,Paper,L
612,Paper,W
613,Paper,L
614,Paper,L
615,Paper,L
616,Paper,L
617,Paper,D
618,Paper,D
619,Paper,L
620,Paper,W
621,Paper,L
622,Paper,L
623,Paper,W
624,Paper,D
625,Paper,L
626,Paper,W
627,Paper,D
628,Paper,W
629,Paper,L
630,Paper,L
631,Paper,W
